,chooseFrontProbability,likeFrontNumber,likeNumber,students,teacherUtility,totalUtility,utility-0,utility-1,utility-2,utility-3,utility-4,utility-5,utility-6,utility-7
165,0.0,1,5,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1000}, {'id': 1, 'like': 0, 'front': 1, 'utility': 2000}, {'id': 2, 'like': 0, 'front': 1, 'utility': 2000}, {'id': 3, 'like': 0, 'front': 1, 'utility': 2000}, {'id': 4, 'like': 1, 'front': 0, 'utility': 245}, {'id': 5, 'like': 1, 'front': 0, 'utility': 257}, {'id': 6, 'like': 1, 'front': 0, 'utility': 249}, {'id': 7, 'like': 1, 'front': 0, 'utility': 249}]",1000,8000,1000,2000,2000,2000,245,257,249,249
220,0.0,2,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1000}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1000}, {'id': 2, 'like': 0, 'front': 1, 'utility': 2000}, {'id': 3, 'like': 0, 'front': 1, 'utility': 2000}, {'id': 4, 'like': 1, 'front': 0, 'utility': 251}, {'id': 5, 'like': 1, 'front': 0, 'utility': 252}, {'id': 6, 'like': 1, 'front': 0, 'utility': 253}, {'id': 7, 'like': 1, 'front': 0, 'utility': 244}]",1000,7000,1000,1000,2000,2000,251,252,253,244
275,0.0,3,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1000}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1000}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1000}, {'id': 3, 'like': 0, 'front': 1, 'utility': 2000}, {'id': 4, 'like': 1, 'front': 0, 'utility': 252}, {'id': 5, 'like': 1, 'front': 0, 'utility': 248}, {'id': 6, 'like': 1, 'front': 0, 'utility': 244}, {'id': 7, 'like': 1, 'front': 0, 'utility': 256}]",1000,6000,1000,1000,1000,2000,252,248,244,256
295,0.899999999999999,4,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1229}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1226}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1228}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1222}, {'id': 4, 'like': 1, 'front': 0, 'utility': 25}, {'id': 5, 'like': 1, 'front': 0, 'utility': 23}, {'id': 6, 'like': 1, 'front': 0, 'utility': 23}, {'id': 7, 'like': 0, 'front': 0, 'utility': 976}]",976,5952,1229,1226,1228,1222,25,23,23,976
328,0.899999999999999,7,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1228}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1222}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1228}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1221}, {'id': 4, 'like': 1, 'front': 0, 'utility': 27}, {'id': 5, 'like': 1, 'front': 0, 'utility': 26}, {'id': 6, 'like': 1, 'front': 0, 'utility': 24}, {'id': 7, 'like': 0, 'front': 0, 'utility': 975}]",975,5951,1228,1222,1228,1221,27,26,24,975
276,0.1,3,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1024}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1025}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1027}, {'id': 3, 'like': 0, 'front': 1, 'utility': 1972}, {'id': 4, 'like': 1, 'front': 0, 'utility': 225}, {'id': 5, 'like': 1, 'front': 0, 'utility': 228}, {'id': 6, 'like': 1, 'front': 0, 'utility': 221}, {'id': 7, 'like': 1, 'front': 0, 'utility': 222}]",972,5944,1024,1025,1027,1972,225,228,221,222
317,0.899999999999999,6,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1228}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1221}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1227}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1223}, {'id': 4, 'like': 1, 'front': 0, 'utility': 26}, {'id': 5, 'like': 1, 'front': 0, 'utility': 26}, {'id': 6, 'like': 0, 'front': 0, 'utility': 978}, {'id': 7, 'like': 0, 'front': 0, 'utility': 973}]",951,6902,1228,1221,1227,1223,26,26,978,973
306,0.899999999999999,5,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1226}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1223}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1229}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1224}, {'id': 4, 'like': 1, 'front': 0, 'utility': 25}, {'id': 5, 'like': 1, 'front': 0, 'utility': 24}, {'id': 6, 'like': 0, 'front': 0, 'utility': 976}, {'id': 7, 'like': 0, 'front': 0, 'utility': 975}]",951,6902,1226,1223,1229,1224,25,24,976,975
273,0.899999999999999,6,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1225}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1225}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1226}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1226}, {'id': 4, 'like': 1, 'front': 0, 'utility': 24}, {'id': 5, 'like': 1, 'front': 0, 'utility': 24}, {'id': 6, 'like': 0, 'front': 0, 'utility': 976}, {'id': 7, 'like': 0, 'front': 0, 'utility': 974}]",950,6900,1225,1225,1226,1226,24,24,976,974
277,0.2,3,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1049}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1053}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1048}, {'id': 3, 'like': 0, 'front': 1, 'utility': 1949}, {'id': 4, 'like': 1, 'front': 0, 'utility': 200}, {'id': 5, 'like': 1, 'front': 0, 'utility': 195}, {'id': 6, 'like': 1, 'front': 0, 'utility': 209}, {'id': 7, 'like': 1, 'front': 0, 'utility': 195}]",949,5898,1049,1053,1048,1949,200,195,209,195
221,0.1,2,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1025}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1025}, {'id': 2, 'like': 0, 'front': 1, 'utility': 1976}, {'id': 3, 'like': 0, 'front': 1, 'utility': 1974}, {'id': 4, 'like': 1, 'front': 0, 'utility': 228}, {'id': 5, 'like': 1, 'front': 0, 'utility': 229}, {'id': 6, 'like': 1, 'front': 0, 'utility': 219}, {'id': 7, 'like': 1, 'front': 0, 'utility': 223}]",949,6899,1025,1025,1976,1974,228,229,219,223
327,0.799999999999999,7,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1195}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1203}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1198}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1204}, {'id': 4, 'like': 1, 'front': 0, 'utility': 50}, {'id': 5, 'like': 1, 'front': 0, 'utility': 50}, {'id': 6, 'like': 1, 'front': 0, 'utility': 47}, {'id': 7, 'like': 0, 'front': 0, 'utility': 948}]",948,5895,1195,1203,1198,1204,50,50,47,948
251,0.899999999999999,4,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1221}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1230}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1227}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1218}, {'id': 4, 'like': 1, 'front': 0, 'utility': 25}, {'id': 5, 'like': 1, 'front': 0, 'utility': 24}, {'id': 6, 'like': 0, 'front': 0, 'utility': 972}, {'id': 7, 'like': 0, 'front': 0, 'utility': 974}]",946,6891,1221,1230,1227,1218,25,24,972,974
294,0.799999999999999,4,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1197}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1204}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1196}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1204}, {'id': 4, 'like': 1, 'front': 0, 'utility': 46}, {'id': 5, 'like': 1, 'front': 0, 'utility': 49}, {'id': 6, 'like': 1, 'front': 0, 'utility': 49}, {'id': 7, 'like': 0, 'front': 0, 'utility': 945}]",945,5890,1197,1204,1196,1204,46,49,49,945
218,0.899999999999999,5,5,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1222}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1234}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1232}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1216}, {'id': 4, 'like': 1, 'front': 0, 'utility': 23}, {'id': 5, 'like': 0, 'front': 0, 'utility': 974}, {'id': 6, 'like': 0, 'front': 0, 'utility': 978}, {'id': 7, 'like': 0, 'front': 0, 'utility': 975}]",927,7854,1222,1234,1232,1216,23,974,978,975
262,0.899999999999999,5,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1230}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1225}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1226}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1223}, {'id': 4, 'like': 1, 'front': 0, 'utility': 23}, {'id': 5, 'like': 0, 'front': 0, 'utility': 974}, {'id': 6, 'like': 0, 'front': 0, 'utility': 975}, {'id': 7, 'like': 0, 'front': 0, 'utility': 977}]",926,7853,1230,1225,1226,1223,23,974,975,977
293,0.7000000000000001,4,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1176}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1181}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1170}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1174}, {'id': 4, 'like': 1, 'front': 0, 'utility': 71}, {'id': 5, 'like': 1, 'front': 0, 'utility': 77}, {'id': 6, 'like': 1, 'front': 0, 'utility': 75}, {'id': 7, 'like': 0, 'front': 0, 'utility': 925}]",925,5849,1176,1181,1170,1174,71,77,75,925
166,0.1,1,5,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1027}, {'id': 1, 'like': 0, 'front': 1, 'utility': 1977}, {'id': 2, 'like': 0, 'front': 1, 'utility': 1974}, {'id': 3, 'like': 0, 'front': 1, 'utility': 1974}, {'id': 4, 'like': 1, 'front': 0, 'utility': 227}, {'id': 5, 'like': 1, 'front': 0, 'utility': 225}, {'id': 6, 'like': 1, 'front': 0, 'utility': 225}, {'id': 7, 'like': 1, 'front': 0, 'utility': 220}]",924,7849,1027,1977,1974,1974,227,225,225,220
207,0.899999999999999,4,5,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1226}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1226}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1224}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1223}, {'id': 4, 'like': 1, 'front': 0, 'utility': 25}, {'id': 5, 'like': 0, 'front': 0, 'utility': 973}, {'id': 6, 'like': 0, 'front': 0, 'utility': 975}, {'id': 7, 'like': 0, 'front': 0, 'utility': 976}]",923,7848,1226,1226,1224,1223,25,973,975,976
278,0.30000000000000004,3,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1069}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1077}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1079}, {'id': 3, 'like': 0, 'front': 1, 'utility': 1922}, {'id': 4, 'like': 1, 'front': 0, 'utility': 176}, {'id': 5, 'like': 1, 'front': 0, 'utility': 174}, {'id': 6, 'like': 1, 'front': 0, 'utility': 174}, {'id': 7, 'like': 1, 'front': 0, 'utility': 173}]",922,5844,1069,1077,1079,1922,176,174,174,173
326,0.7000000000000001,7,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1173}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1172}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1178}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1176}, {'id': 4, 'like': 1, 'front': 0, 'utility': 75}, {'id': 5, 'like': 1, 'front': 0, 'utility': 71}, {'id': 6, 'like': 1, 'front': 0, 'utility': 75}, {'id': 7, 'like': 0, 'front': 0, 'utility': 918}]",918,5838,1173,1172,1178,1176,75,71,75,918
250,0.799999999999999,4,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1199}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1211}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1200}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1195}, {'id': 4, 'like': 1, 'front': 0, 'utility': 50}, {'id': 5, 'like': 1, 'front': 0, 'utility': 50}, {'id': 6, 'like': 0, 'front': 0, 'utility': 952}, {'id': 7, 'like': 0, 'front': 0, 'utility': 953}]",905,6810,1199,1211,1200,1195,50,50,952,953
111,0.1,0,4,"[{'id': 0, 'like': 0, 'front': 1, 'utility': 1973}, {'id': 1, 'like': 0, 'front': 1, 'utility': 1973}, {'id': 2, 'like': 0, 'front': 1, 'utility': 1978}, {'id': 3, 'like': 0, 'front': 1, 'utility': 1977}, {'id': 4, 'like': 1, 'front': 0, 'utility': 223}, {'id': 5, 'like': 1, 'front': 0, 'utility': 222}, {'id': 6, 'like': 1, 'front': 0, 'utility': 225}, {'id': 7, 'like': 1, 'front': 0, 'utility': 231}]",901,8802,1973,1973,1978,1977,223,222,225,231
272,0.799999999999999,6,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1204}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1192}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1197}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1205}, {'id': 4, 'like': 1, 'front': 0, 'utility': 51}, {'id': 5, 'like': 1, 'front': 0, 'utility': 52}, {'id': 6, 'like': 0, 'front': 0, 'utility': 947}, {'id': 7, 'like': 0, 'front': 0, 'utility': 953}]",901,6801,1204,1192,1197,1205,51,52,947,953
316,0.799999999999999,6,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1198}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1195}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1206}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1198}, {'id': 4, 'like': 1, 'front': 0, 'utility': 51}, {'id': 5, 'like': 1, 'front': 0, 'utility': 52}, {'id': 6, 'like': 0, 'front': 0, 'utility': 951}, {'id': 7, 'like': 0, 'front': 0, 'utility': 949}]",900,6800,1198,1195,1206,1198,51,52,951,949
325,0.6000000000000001,7,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1150}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1148}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1148}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1147}, {'id': 4, 'like': 1, 'front': 0, 'utility': 101}, {'id': 5, 'like': 1, 'front': 0, 'utility': 99}, {'id': 6, 'like': 1, 'front': 0, 'utility': 106}, {'id': 7, 'like': 0, 'front': 0, 'utility': 900}]",900,5799,1150,1148,1148,1147,101,99,106,900
305,0.799999999999999,5,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1198}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1200}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1198}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1200}, {'id': 4, 'like': 1, 'front': 0, 'utility': 50}, {'id': 5, 'like': 1, 'front': 0, 'utility': 53}, {'id': 6, 'like': 0, 'front': 0, 'utility': 950}, {'id': 7, 'like': 0, 'front': 0, 'utility': 949}]",899,6798,1198,1200,1198,1200,50,53,950,949
222,0.2,2,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1052}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1052}, {'id': 2, 'like': 0, 'front': 1, 'utility': 1950}, {'id': 3, 'like': 0, 'front': 1, 'utility': 1949}, {'id': 4, 'like': 1, 'front': 0, 'utility': 195}, {'id': 5, 'like': 1, 'front': 0, 'utility': 197}, {'id': 6, 'like': 1, 'front': 0, 'utility': 205}, {'id': 7, 'like': 1, 'front': 0, 'utility': 197}]",899,6797,1052,1052,1950,1949,195,197,205,197
163,0.899999999999999,4,4,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1228}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1236}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1217}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1217}, {'id': 4, 'like': 0, 'front': 0, 'utility': 974}, {'id': 5, 'like': 0, 'front': 0, 'utility': 976}, {'id': 6, 'like': 0, 'front': 0, 'utility': 973}, {'id': 7, 'like': 0, 'front': 0, 'utility': 975}]",898,8796,1228,1236,1217,1217,974,976,973,975
292,0.6000000000000001,4,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1149}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1151}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1152}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1147}, {'id': 4, 'like': 1, 'front': 0, 'utility': 98}, {'id': 5, 'like': 1, 'front': 0, 'utility': 98}, {'id': 6, 'like': 1, 'front': 0, 'utility': 102}, {'id': 7, 'like': 0, 'front': 0, 'utility': 898}]",898,5795,1149,1151,1152,1147,98,98,102,898
279,0.4,3,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1106}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1095}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1097}, {'id': 3, 'like': 0, 'front': 1, 'utility': 1897}, {'id': 4, 'like': 1, 'front': 0, 'utility': 153}, {'id': 5, 'like': 1, 'front': 0, 'utility': 150}, {'id': 6, 'like': 1, 'front': 0, 'utility': 148}, {'id': 7, 'like': 1, 'front': 0, 'utility': 147}]",897,5793,1106,1095,1097,1897,153,150,148,147
280,0.5,3,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1127}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1126}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1125}, {'id': 3, 'like': 0, 'front': 1, 'utility': 1876}, {'id': 4, 'like': 1, 'front': 0, 'utility': 124}, {'id': 5, 'like': 1, 'front': 0, 'utility': 121}, {'id': 6, 'like': 1, 'front': 0, 'utility': 126}, {'id': 7, 'like': 1, 'front': 0, 'utility': 127}]",876,5752,1127,1126,1125,1876,124,121,126,127
324,0.5,7,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1121}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1123}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1132}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1124}, {'id': 4, 'like': 1, 'front': 0, 'utility': 123}, {'id': 5, 'like': 1, 'front': 0, 'utility': 126}, {'id': 6, 'like': 1, 'front': 0, 'utility': 124}, {'id': 7, 'like': 0, 'front': 0, 'utility': 873}]",873,5746,1121,1123,1132,1124,123,126,124,873
291,0.5,4,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1124}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1123}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1124}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1125}, {'id': 4, 'like': 1, 'front': 0, 'utility': 122}, {'id': 5, 'like': 1, 'front': 0, 'utility': 132}, {'id': 6, 'like': 1, 'front': 0, 'utility': 123}, {'id': 7, 'like': 0, 'front': 0, 'utility': 872}]",872,5745,1124,1123,1124,1125,122,132,123,872
271,0.7000000000000001,6,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1181}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1174}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1174}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1181}, {'id': 4, 'like': 1, 'front': 0, 'utility': 78}, {'id': 5, 'like': 1, 'front': 0, 'utility': 72}, {'id': 6, 'like': 0, 'front': 0, 'utility': 929}, {'id': 7, 'like': 0, 'front': 0, 'utility': 930}]",859,6719,1181,1174,1174,1181,78,72,929,930
323,0.4,7,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1097}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1098}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1102}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1100}, {'id': 4, 'like': 1, 'front': 0, 'utility': 150}, {'id': 5, 'like': 1, 'front': 0, 'utility': 154}, {'id': 6, 'like': 1, 'front': 0, 'utility': 153}, {'id': 7, 'like': 0, 'front': 0, 'utility': 855}]",855,5709,1097,1098,1102,1100,150,154,153,855
261,0.799999999999999,5,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 1202}, {'id': 1, 'like': 1, 'front': 1, 'utility': 1204}, {'id': 2, 'like': 1, 'front': 1, 'utility': 1198}, {'id': 3, 'like': 1, 'front': 1, 'utility': 1200}, {'id': 4, 'like': 1, 'front': 0, 'utility': 48}, {'id': 5, 'like': 0, 'front': 0, 'utility': 951}, {'id': 6, 'like': 0, 'front': 0, 'utility': 954}, {'id': 7, 'like': 0, 'front': 0, 'utility': 949}]",853,7706,1202,1204,1198,1200,48,951,954,949
