,chooseFrontProbability,likeFrontNumber,likeNumber,students,teacherUtility,totalUtility,utility-0,utility-1,utility-2,utility-3,utility-4,utility-5,utility-6,utility-7
296,1,4,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 243}, {'id': 1, 'like': 1, 'front': 1, 'utility': 253}, {'id': 2, 'like': 1, 'front': 1, 'utility': 250}, {'id': 3, 'like': 1, 'front': 1, 'utility': 255}, {'id': 4, 'like': 1, 'front': 0, 'utility': 0}, {'id': 5, 'like': 1, 'front': 0, 'utility': 0}, {'id': 6, 'like': 1, 'front': 0, 'utility': 0}, {'id': 7, 'like': 0, 'front': 0, 'utility': 1000}]",1000,2001,243,253,250,255,0,0,0,1000
165,0,1,5,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 0}, {'id': 1, 'like': 0, 'front': 1, 'utility': 1000}, {'id': 2, 'like': 0, 'front': 1, 'utility': 1000}, {'id': 3, 'like': 0, 'front': 1, 'utility': 1000}, {'id': 4, 'like': 1, 'front': 0, 'utility': 245}, {'id': 5, 'like': 1, 'front': 0, 'utility': 250}, {'id': 6, 'like': 1, 'front': 0, 'utility': 254}, {'id': 7, 'like': 1, 'front': 0, 'utility': 251}]",1000,4000,0,1000,1000,1000,245,250,254,251
220,0,2,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 0}, {'id': 1, 'like': 1, 'front': 1, 'utility': 0}, {'id': 2, 'like': 0, 'front': 1, 'utility': 1000}, {'id': 3, 'like': 0, 'front': 1, 'utility': 1000}, {'id': 4, 'like': 1, 'front': 0, 'utility': 255}, {'id': 5, 'like': 1, 'front': 0, 'utility': 247}, {'id': 6, 'like': 1, 'front': 0, 'utility': 246}, {'id': 7, 'like': 1, 'front': 0, 'utility': 252}]",1000,3000,0,0,1000,1000,255,247,246,252
275,0,3,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 0}, {'id': 1, 'like': 1, 'front': 1, 'utility': 0}, {'id': 2, 'like': 1, 'front': 1, 'utility': 0}, {'id': 3, 'like': 0, 'front': 1, 'utility': 1000}, {'id': 4, 'like': 1, 'front': 0, 'utility': 256}, {'id': 5, 'like': 1, 'front': 0, 'utility': 251}, {'id': 6, 'like': 1, 'front': 0, 'utility': 250}, {'id': 7, 'like': 1, 'front': 0, 'utility': 243}]",1000,2000,0,0,0,1000,256,251,250,243
295,0.9,4,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 224}, {'id': 1, 'like': 1, 'front': 1, 'utility': 228}, {'id': 2, 'like': 1, 'front': 1, 'utility': 228}, {'id': 3, 'like': 1, 'front': 1, 'utility': 219}, {'id': 4, 'like': 1, 'front': 0, 'utility': 26}, {'id': 5, 'like': 1, 'front': 0, 'utility': 25}, {'id': 6, 'like': 1, 'front': 0, 'utility': 26}, {'id': 7, 'like': 0, 'front': 0, 'utility': 976}]",976,1952,224,228,228,219,26,25,26,976
276,0.1,3,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 24}, {'id': 1, 'like': 1, 'front': 1, 'utility': 24}, {'id': 2, 'like': 1, 'front': 1, 'utility': 24}, {'id': 3, 'like': 0, 'front': 1, 'utility': 976}, {'id': 4, 'like': 1, 'front': 0, 'utility': 223}, {'id': 5, 'like': 1, 'front': 0, 'utility': 224}, {'id': 6, 'like': 1, 'front': 0, 'utility': 224}, {'id': 7, 'like': 1, 'front': 0, 'utility': 233}]",976,1952,24,24,24,976,223,224,224,233
328,0.9,7,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 226}, {'id': 1, 'like': 1, 'front': 1, 'utility': 219}, {'id': 2, 'like': 1, 'front': 1, 'utility': 226}, {'id': 3, 'like': 1, 'front': 1, 'utility': 226}, {'id': 4, 'like': 1, 'front': 0, 'utility': 27}, {'id': 5, 'like': 1, 'front': 0, 'utility': 26}, {'id': 6, 'like': 1, 'front': 0, 'utility': 24}, {'id': 7, 'like': 0, 'front': 0, 'utility': 974}]",974,1948,226,219,226,226,27,26,24,974
327,0.8,7,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 204}, {'id': 1, 'like': 1, 'front': 1, 'utility': 196}, {'id': 2, 'like': 1, 'front': 1, 'utility': 197}, {'id': 3, 'like': 1, 'front': 1, 'utility': 205}, {'id': 4, 'like': 1, 'front': 0, 'utility': 50}, {'id': 5, 'like': 1, 'front': 0, 'utility': 49}, {'id': 6, 'like': 1, 'front': 0, 'utility': 52}, {'id': 7, 'like': 0, 'front': 0, 'utility': 953}]",953,1906,204,196,197,205,50,49,52,953
273,0.9,6,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 220}, {'id': 1, 'like': 1, 'front': 1, 'utility': 225}, {'id': 2, 'like': 1, 'front': 1, 'utility': 229}, {'id': 3, 'like': 1, 'front': 1, 'utility': 226}, {'id': 4, 'like': 1, 'front': 0, 'utility': 24}, {'id': 5, 'like': 1, 'front': 0, 'utility': 27}, {'id': 6, 'like': 0, 'front': 0, 'utility': 974}, {'id': 7, 'like': 0, 'front': 0, 'utility': 977}]",951,2902,220,225,229,226,24,27,974,977
294,0.8,4,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 204}, {'id': 1, 'like': 1, 'front': 1, 'utility': 198}, {'id': 2, 'like': 1, 'front': 1, 'utility': 199}, {'id': 3, 'like': 1, 'front': 1, 'utility': 198}, {'id': 4, 'like': 1, 'front': 0, 'utility': 46}, {'id': 5, 'like': 1, 'front': 0, 'utility': 50}, {'id': 6, 'like': 1, 'front': 0, 'utility': 55}, {'id': 7, 'like': 0, 'front': 0, 'utility': 951}]",951,1901,204,198,199,198,46,50,55,951
277,0.2,3,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 52}, {'id': 1, 'like': 1, 'front': 1, 'utility': 48}, {'id': 2, 'like': 1, 'front': 1, 'utility': 52}, {'id': 3, 'like': 0, 'front': 1, 'utility': 951}, {'id': 4, 'like': 1, 'front': 0, 'utility': 194}, {'id': 5, 'like': 1, 'front': 0, 'utility': 201}, {'id': 6, 'like': 1, 'front': 0, 'utility': 208}, {'id': 7, 'like': 1, 'front': 0, 'utility': 196}]",951,1902,52,48,52,951,194,201,208,196
306,0.9,5,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 227}, {'id': 1, 'like': 1, 'front': 1, 'utility': 232}, {'id': 2, 'like': 1, 'front': 1, 'utility': 220}, {'id': 3, 'like': 1, 'front': 1, 'utility': 220}, {'id': 4, 'like': 1, 'front': 0, 'utility': 25}, {'id': 5, 'like': 1, 'front': 0, 'utility': 26}, {'id': 6, 'like': 0, 'front': 0, 'utility': 975}, {'id': 7, 'like': 0, 'front': 0, 'utility': 976}]",950,2901,227,232,220,220,25,26,975,976
251,0.9,4,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 222}, {'id': 1, 'like': 1, 'front': 1, 'utility': 228}, {'id': 2, 'like': 1, 'front': 1, 'utility': 224}, {'id': 3, 'like': 1, 'front': 1, 'utility': 229}, {'id': 4, 'like': 1, 'front': 0, 'utility': 22}, {'id': 5, 'like': 1, 'front': 0, 'utility': 25}, {'id': 6, 'like': 0, 'front': 0, 'utility': 973}, {'id': 7, 'like': 0, 'front': 0, 'utility': 977}]",950,2900,222,228,224,229,22,25,973,977
317,0.9,6,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 219}, {'id': 1, 'like': 1, 'front': 1, 'utility': 228}, {'id': 2, 'like': 1, 'front': 1, 'utility': 223}, {'id': 3, 'like': 1, 'front': 1, 'utility': 228}, {'id': 4, 'like': 1, 'front': 0, 'utility': 26}, {'id': 5, 'like': 1, 'front': 0, 'utility': 26}, {'id': 6, 'like': 0, 'front': 0, 'utility': 972}, {'id': 7, 'like': 0, 'front': 0, 'utility': 977}]",949,2899,219,228,223,228,26,26,972,977
221,0.1,2,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 23}, {'id': 1, 'like': 1, 'front': 1, 'utility': 25}, {'id': 2, 'like': 0, 'front': 1, 'utility': 972}, {'id': 3, 'like': 0, 'front': 1, 'utility': 975}, {'id': 4, 'like': 1, 'front': 0, 'utility': 227}, {'id': 5, 'like': 1, 'front': 0, 'utility': 228}, {'id': 6, 'like': 1, 'front': 0, 'utility': 221}, {'id': 7, 'like': 1, 'front': 0, 'utility': 224}]",947,2895,23,25,972,975,227,228,221,224
218,0.9,5,5,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 227}, {'id': 1, 'like': 1, 'front': 1, 'utility': 225}, {'id': 2, 'like': 1, 'front': 1, 'utility': 224}, {'id': 3, 'like': 1, 'front': 1, 'utility': 225}, {'id': 4, 'like': 1, 'front': 0, 'utility': 27}, {'id': 5, 'like': 0, 'front': 0, 'utility': 975}, {'id': 6, 'like': 0, 'front': 0, 'utility': 975}, {'id': 7, 'like': 0, 'front': 0, 'utility': 978}]",928,3856,227,225,224,225,27,975,975,978
326,0.7,7,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 179}, {'id': 1, 'like': 1, 'front': 1, 'utility': 172}, {'id': 2, 'like': 1, 'front': 1, 'utility': 172}, {'id': 3, 'like': 1, 'front': 1, 'utility': 177}, {'id': 4, 'like': 1, 'front': 0, 'utility': 77}, {'id': 5, 'like': 1, 'front': 0, 'utility': 73}, {'id': 6, 'like': 1, 'front': 0, 'utility': 79}, {'id': 7, 'like': 0, 'front': 0, 'utility': 928}]",928,1857,179,172,172,177,77,73,79,928
262,0.9,5,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 222}, {'id': 1, 'like': 1, 'front': 1, 'utility': 224}, {'id': 2, 'like': 1, 'front': 1, 'utility': 230}, {'id': 3, 'like': 1, 'front': 1, 'utility': 227}, {'id': 4, 'like': 1, 'front': 0, 'utility': 24}, {'id': 5, 'like': 0, 'front': 0, 'utility': 976}, {'id': 6, 'like': 0, 'front': 0, 'utility': 977}, {'id': 7, 'like': 0, 'front': 0, 'utility': 974}]",927,3854,222,224,230,227,24,976,977,974
293,0.7,4,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 175}, {'id': 1, 'like': 1, 'front': 1, 'utility': 169}, {'id': 2, 'like': 1, 'front': 1, 'utility': 177}, {'id': 3, 'like': 1, 'front': 1, 'utility': 171}, {'id': 4, 'like': 1, 'front': 0, 'utility': 79}, {'id': 5, 'like': 1, 'front': 0, 'utility': 78}, {'id': 6, 'like': 1, 'front': 0, 'utility': 77}, {'id': 7, 'like': 0, 'front': 0, 'utility': 926}]",926,1852,175,169,177,171,79,78,77,926
278,0.3,3,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 74}, {'id': 1, 'like': 1, 'front': 1, 'utility': 75}, {'id': 2, 'like': 1, 'front': 1, 'utility': 73}, {'id': 3, 'like': 0, 'front': 1, 'utility': 926}, {'id': 4, 'like': 1, 'front': 0, 'utility': 175}, {'id': 5, 'like': 1, 'front': 0, 'utility': 181}, {'id': 6, 'like': 1, 'front': 0, 'utility': 169}, {'id': 7, 'like': 1, 'front': 0, 'utility': 179}]",926,1852,74,75,73,926,175,181,169,179
207,0.9,4,5,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 229}, {'id': 1, 'like': 1, 'front': 1, 'utility': 224}, {'id': 2, 'like': 1, 'front': 1, 'utility': 220}, {'id': 3, 'like': 1, 'front': 1, 'utility': 225}, {'id': 4, 'like': 1, 'front': 0, 'utility': 25}, {'id': 5, 'like': 0, 'front': 0, 'utility': 976}, {'id': 6, 'like': 0, 'front': 0, 'utility': 975}, {'id': 7, 'like': 0, 'front': 0, 'utility': 973}]",924,3847,229,224,220,225,25,976,975,973
166,0.1,1,5,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 23}, {'id': 1, 'like': 0, 'front': 1, 'utility': 976}, {'id': 2, 'like': 0, 'front': 1, 'utility': 975}, {'id': 3, 'like': 0, 'front': 1, 'utility': 973}, {'id': 4, 'like': 1, 'front': 0, 'utility': 222}, {'id': 5, 'like': 1, 'front': 0, 'utility': 230}, {'id': 6, 'like': 1, 'front': 0, 'utility': 226}, {'id': 7, 'like': 1, 'front': 0, 'utility': 224}]",924,3849,23,976,975,973,222,230,226,224
316,0.8,6,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 198}, {'id': 1, 'like': 1, 'front': 1, 'utility': 196}, {'id': 2, 'like': 1, 'front': 1, 'utility': 206}, {'id': 3, 'like': 1, 'front': 1, 'utility': 205}, {'id': 4, 'like': 1, 'front': 0, 'utility': 52}, {'id': 5, 'like': 1, 'front': 0, 'utility': 49}, {'id': 6, 'like': 0, 'front': 0, 'utility': 954}, {'id': 7, 'like': 0, 'front': 0, 'utility': 951}]",904,2811,198,196,206,205,52,49,954,951
111,0.1,0,4,"[{'id': 0, 'like': 0, 'front': 1, 'utility': 977}, {'id': 1, 'like': 0, 'front': 1, 'utility': 971}, {'id': 2, 'like': 0, 'front': 1, 'utility': 978}, {'id': 3, 'like': 0, 'front': 1, 'utility': 977}, {'id': 4, 'like': 1, 'front': 0, 'utility': 224}, {'id': 5, 'like': 1, 'front': 0, 'utility': 236}, {'id': 6, 'like': 1, 'front': 0, 'utility': 226}, {'id': 7, 'like': 1, 'front': 0, 'utility': 217}]",903,4806,977,971,978,977,224,236,226,217
325,0.6,7,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 145}, {'id': 1, 'like': 1, 'front': 1, 'utility': 153}, {'id': 2, 'like': 1, 'front': 1, 'utility': 146}, {'id': 3, 'like': 1, 'front': 1, 'utility': 155}, {'id': 4, 'like': 1, 'front': 0, 'utility': 104}, {'id': 5, 'like': 1, 'front': 0, 'utility': 101}, {'id': 6, 'like': 1, 'front': 0, 'utility': 99}, {'id': 7, 'like': 0, 'front': 0, 'utility': 903}]",903,1806,145,153,146,155,104,101,99,903
279,0.4,3,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 101}, {'id': 1, 'like': 1, 'front': 1, 'utility': 106}, {'id': 2, 'like': 1, 'front': 1, 'utility': 100}, {'id': 3, 'like': 0, 'front': 1, 'utility': 902}, {'id': 4, 'like': 1, 'front': 0, 'utility': 152}, {'id': 5, 'like': 1, 'front': 0, 'utility': 145}, {'id': 6, 'like': 1, 'front': 0, 'utility': 144}, {'id': 7, 'like': 1, 'front': 0, 'utility': 155}]",902,1805,101,106,100,902,152,145,144,155
222,0.2,2,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 52}, {'id': 1, 'like': 1, 'front': 1, 'utility': 50}, {'id': 2, 'like': 0, 'front': 1, 'utility': 952}, {'id': 3, 'like': 0, 'front': 1, 'utility': 950}, {'id': 4, 'like': 1, 'front': 0, 'utility': 198}, {'id': 5, 'like': 1, 'front': 0, 'utility': 199}, {'id': 6, 'like': 1, 'front': 0, 'utility': 195}, {'id': 7, 'like': 1, 'front': 0, 'utility': 208}]",902,2804,52,50,952,950,198,199,195,208
163,0.9,4,4,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 218}, {'id': 1, 'like': 1, 'front': 1, 'utility': 218}, {'id': 2, 'like': 1, 'front': 1, 'utility': 235}, {'id': 3, 'like': 1, 'front': 1, 'utility': 229}, {'id': 4, 'like': 0, 'front': 0, 'utility': 974}, {'id': 5, 'like': 0, 'front': 0, 'utility': 974}, {'id': 6, 'like': 0, 'front': 0, 'utility': 976}, {'id': 7, 'like': 0, 'front': 0, 'utility': 976}]",900,4800,218,218,235,229,974,974,976,976
305,0.8,5,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 201}, {'id': 1, 'like': 1, 'front': 1, 'utility': 202}, {'id': 2, 'like': 1, 'front': 1, 'utility': 202}, {'id': 3, 'like': 1, 'front': 1, 'utility': 197}, {'id': 4, 'like': 1, 'front': 0, 'utility': 52}, {'id': 5, 'like': 1, 'front': 0, 'utility': 46}, {'id': 6, 'like': 0, 'front': 0, 'utility': 950}, {'id': 7, 'like': 0, 'front': 0, 'utility': 950}]",900,2800,201,202,202,197,52,46,950,950
250,0.8,4,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 201}, {'id': 1, 'like': 1, 'front': 1, 'utility': 199}, {'id': 2, 'like': 1, 'front': 1, 'utility': 201}, {'id': 3, 'like': 1, 'front': 1, 'utility': 194}, {'id': 4, 'like': 1, 'front': 0, 'utility': 52}, {'id': 5, 'like': 1, 'front': 0, 'utility': 54}, {'id': 6, 'like': 0, 'front': 0, 'utility': 951}, {'id': 7, 'like': 0, 'front': 0, 'utility': 949}]",900,2801,201,199,201,194,52,54,951,949
292,0.6,4,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 154}, {'id': 1, 'like': 1, 'front': 1, 'utility': 150}, {'id': 2, 'like': 1, 'front': 1, 'utility': 144}, {'id': 3, 'like': 1, 'front': 1, 'utility': 150}, {'id': 4, 'like': 1, 'front': 0, 'utility': 101}, {'id': 5, 'like': 1, 'front': 0, 'utility': 98}, {'id': 6, 'like': 1, 'front': 0, 'utility': 102}, {'id': 7, 'like': 0, 'front': 0, 'utility': 900}]",900,1799,154,150,144,150,101,98,102,900
272,0.8,6,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 205}, {'id': 1, 'like': 1, 'front': 1, 'utility': 194}, {'id': 2, 'like': 1, 'front': 1, 'utility': 199}, {'id': 3, 'like': 1, 'front': 1, 'utility': 194}, {'id': 4, 'like': 1, 'front': 0, 'utility': 51}, {'id': 5, 'like': 1, 'front': 0, 'utility': 48}, {'id': 6, 'like': 0, 'front': 0, 'utility': 949}, {'id': 7, 'like': 0, 'front': 0, 'utility': 943}]",892,2783,205,194,199,194,51,48,949,943
280,0.5,3,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 130}, {'id': 1, 'like': 1, 'front': 1, 'utility': 125}, {'id': 2, 'like': 1, 'front': 1, 'utility': 121}, {'id': 3, 'like': 0, 'front': 1, 'utility': 876}, {'id': 4, 'like': 1, 'front': 0, 'utility': 115}, {'id': 5, 'like': 1, 'front': 0, 'utility': 129}, {'id': 6, 'like': 1, 'front': 0, 'utility': 125}, {'id': 7, 'like': 1, 'front': 0, 'utility': 130}]",876,1751,130,125,121,876,115,129,125,130
324,0.5,7,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 126}, {'id': 1, 'like': 1, 'front': 1, 'utility': 119}, {'id': 2, 'like': 1, 'front': 1, 'utility': 132}, {'id': 3, 'like': 1, 'front': 1, 'utility': 120}, {'id': 4, 'like': 1, 'front': 0, 'utility': 129}, {'id': 5, 'like': 1, 'front': 0, 'utility': 121}, {'id': 6, 'like': 1, 'front': 0, 'utility': 127}, {'id': 7, 'like': 0, 'front': 0, 'utility': 874}]",874,1748,126,119,132,120,129,121,127,874
291,0.5,4,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 122}, {'id': 1, 'like': 1, 'front': 1, 'utility': 127}, {'id': 2, 'like': 1, 'front': 1, 'utility': 130}, {'id': 3, 'like': 1, 'front': 1, 'utility': 122}, {'id': 4, 'like': 1, 'front': 0, 'utility': 123}, {'id': 5, 'like': 1, 'front': 0, 'utility': 131}, {'id': 6, 'like': 1, 'front': 0, 'utility': 121}, {'id': 7, 'like': 0, 'front': 0, 'utility': 874}]",874,1750,122,127,130,122,123,131,121,874
315,0.7,6,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 182}, {'id': 1, 'like': 1, 'front': 1, 'utility': 175}, {'id': 2, 'like': 1, 'front': 1, 'utility': 171}, {'id': 3, 'like': 1, 'front': 1, 'utility': 175}, {'id': 4, 'like': 1, 'front': 0, 'utility': 76}, {'id': 5, 'like': 1, 'front': 0, 'utility': 77}, {'id': 6, 'like': 0, 'front': 0, 'utility': 928}, {'id': 7, 'like': 0, 'front': 0, 'utility': 928}]",856,2712,182,175,171,175,76,77,928,928
271,0.7,6,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 172}, {'id': 1, 'like': 1, 'front': 1, 'utility': 171}, {'id': 2, 'like': 1, 'front': 1, 'utility': 179}, {'id': 3, 'like': 1, 'front': 1, 'utility': 177}, {'id': 4, 'like': 1, 'front': 0, 'utility': 76}, {'id': 5, 'like': 1, 'front': 0, 'utility': 76}, {'id': 6, 'like': 0, 'front': 0, 'utility': 929}, {'id': 7, 'like': 0, 'front': 0, 'utility': 923}]",852,2703,172,171,179,177,76,76,929,923
323,0.4,7,7,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 106}, {'id': 1, 'like': 1, 'front': 1, 'utility': 95}, {'id': 2, 'like': 1, 'front': 1, 'utility': 98}, {'id': 3, 'like': 1, 'front': 1, 'utility': 98}, {'id': 4, 'like': 1, 'front': 0, 'utility': 151}, {'id': 5, 'like': 1, 'front': 0, 'utility': 151}, {'id': 6, 'like': 1, 'front': 0, 'utility': 153}, {'id': 7, 'like': 0, 'front': 0, 'utility': 852}]",852,1704,106,95,98,98,151,151,153,852
261,0.8,5,6,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 200}, {'id': 1, 'like': 1, 'front': 1, 'utility': 196}, {'id': 2, 'like': 1, 'front': 1, 'utility': 203}, {'id': 3, 'like': 1, 'front': 1, 'utility': 203}, {'id': 4, 'like': 1, 'front': 0, 'utility': 50}, {'id': 5, 'like': 0, 'front': 0, 'utility': 954}, {'id': 6, 'like': 0, 'front': 0, 'utility': 950}, {'id': 7, 'like': 0, 'front': 0, 'utility': 948}]",851,3704,200,196,203,203,50,954,950,948
217,0.8,5,5,"[{'id': 0, 'like': 1, 'front': 1, 'utility': 197}, {'id': 1, 'like': 1, 'front': 1, 'utility': 202}, {'id': 2, 'like': 1, 'front': 1, 'utility': 200}, {'id': 3, 'like': 1, 'front': 1, 'utility': 202}, {'id': 4, 'like': 1, 'front': 0, 'utility': 51}, {'id': 5, 'like': 0, 'front': 0, 'utility': 951}, {'id': 6, 'like': 0, 'front': 0, 'utility': 950}, {'id': 7, 'like': 0, 'front': 0, 'utility': 951}]",851,3704,197,202,200,202,51,951,950,951
